zh;en;carbohydrates;energy;fat;fat_saturated;fiber;proteins;salt;sodium;sugars
琼脂;Agar;0;160;0;;74,1;2,4;;130;
龙舌兰糖浆;Agave syrup;73;295;0;;0;0,2;;;
阿尔卑斯通心粉（已烹制）;Macaroni from the alps, prepared;19;185;9;5,3;1,7;6,1;6,7;440;1,4
阿玛雷蒂杏仁饼干;Amaretti (Almond cookie);76;455;12;0,9;3,2;7,6;2;36;75,7
糖水菠萝（罐头）;Pineapple, sweetened, canned;20;90;0;0;1,3;0,4;0;1,8;20,2
新鲜菠萝;Pineapple, fresh;11;55;0;0;1,4;0,4;1,4;2;11,3
无糖菠萝（罐头）;Pineapple, unsweetened, canned;11;55;0;0;1,4;0,4;0;2;11,3
炖苹果（沥干，无添加糖）;Apple, stewed, drained (without addition of sugar);15;75;0;0,1;2,8;0,4;1;5,3;15,3
去皮苹果干;Apple, peeled, dried;63;295;2;0,5;9,2;1,5;10;15;60
新鲜苹果;Apple, fresh;12;55;0;0,1;2,1;0,3;0,8;4;11,6
苹果派（酥皮，烘烤）;Apple pie, baked (with puff pastry);17;145;7;3,9;1,7;2,3;3;94;9,5
苹果派（蛋糕面团，烘烤）;Apple pie, baked (with cake dough);19;135;5;2,6;1,8;2,7;3,1;100;9,5
加糖果酱（罐头）;Applesauce, sweetened, canned;21;90;0;0,1;1,9;0,3;0,7;3,6;20,4
无糖果酱（罐头）;Applesauce, unsweetened, canned;12;55;0;0,1;2,1;0,3;0,8;4;11,6
苹果汁;Apple juice;11;45;0;0;0;0,1;2;2,3;10,3
苹果酒（4 vol%）;Cider, 4 vol%;3;35;0;0;0;0;10;4;2,5
苹果酒（6.2 vol%）;Cider, 6.2 vol%;7;65;0;0;0;0;10;2;7,3
阿彭策尔奶酪（至少15%脂肪干物质）;Appenzeller, at least 15% fidm;0;240;11;6,8;0;33,8;35;810;0
阿彭策尔奶酪（至少45%脂肪干物质）;Appenzeller, at least 45% fidm;0;390;32;19;0;24,8;8,4;620;0
炖杏（沥干，无添加糖）;Apricot, stewed, drained (without addition of sugar) ;13;60;0;0;2,6;1;0,6;2,5;12,5
杏干;Apricot, dried;48;275;1;0;17,7;5;2,7;11;43,3
糖水杏（罐头）;Apricot, sweetened, canned;19;85;0;0;1,9;0,7;0,4;1,8;19
新鲜杏;Apricot, raw;10;50;0;0;2,1;0,8;0,5;2;10
无糖杏（罐头）;Apricot, unsweetened, canned;10;50;0;0;2,1;0,8;0,5;2;10
杏派（酥皮，烘烤）;Apricot pie, baked (with puff pastry);15;140;7;3,8;1,7;2,6;2,8;93;8,4
杏派（蛋糕面团，烘烤）;Apricot pie, baked (with cake dough);18;130;5;2,6;1,8;3;2,9;100;8,4
炖茄子（无油无盐）;Eggplant, stewed (without addition of fat and salt);4;30;0;0;3;1,2;0,2;3,8;3,5
生茄子;Eggplant, raw;3;25;0;0;2,4;1;0,2;3;2,8
茄子皮卡塔（已烹制）;Eggplant piccata, prepared;9;170;12;4,5;2,3;5,3;7,9;260;2,9
面包糠茄子片（已烹制）;Eggplant slices, breaded, prepared;15;140;6;0,7;3;4,8;4,9;290;3
冷切肉（平均）;Cold cuts (average);1;290;26;9,7;0;14,1;0,6;790;0,7
新鲜牛油果;Avocado, fresh;1;145;14;2,9;3;1,8;1;7;0,8
压榨烘焙酵母;Yeast (baking), pressed;1;100;1;0,2;6,9;16,7;0,6;22;0
巴米炒面（已烹制）;Bami Goreng, prepared;14;140;3;0,4;0,9;14;1,6;400;1,5
香蕉干（香蕉片）;Banana, dried (banana chips);81;370;2;0,7;7,6;3,9;0;3;65,3
香蕉干;Banana, dried;60;275;1;0,4;5,5;3;8,1;8;43,7
新鲜香蕉;Banana, raw;21;95;0;0,1;2;1,1;2;1;17,2
新鲜罗勒;Basil, raw;5;50;1;0,1;3,1;3,1;0,9;9;5
巴塞尔利口乐饼;Basler Leckerli (Swiss biscuit from Basel);75;405;8;0,6;3,2;6,9;0,6;2,9;52
烤猪肉香肠（生）;Bratwurst, fried sausage, pork, raw;0;245;19;7,1;0;16,9;1,3;1530;0,2
农家面包;Farmers' bread;45;240;2;0,7;4,2;9;3,7;700;2,5
农家风味萨拉米;Salami Farmer style;1;535;50;18,7;0;20,6;0,9;1580;0,8
农家风味许布利希香肠;Peasant's Schüblig;0;525;49;18,8;0;21,3;1;1590;0,3
农家风味培根（生，烟熏）;Bacon Farmer style, raw, smoked;1;520;49;0;0;19,1;0;0;0
核桃;Walnut;7;745;71;6,3;6,7;15,9;2;0,3;2
核桃面包;Bread with walnuts;31;340;19;3,9;5,5;8,9;2,9;480;1,4
自制白酱;Béchamel sauce home made;10;150;10;6;0,2;4,3;9,8;300;4,8
熟浆果（平均，无添加糖）;Berries (average), cooked (without addition of sugar);8;45;1;0;3;0,8;1,3;2,2;7,6
生浆果（平均）;Berries (average), raw;7;45;1;0;2,8;0,8;1,2;2,1;7,2
柏林甜甜圈;Berliner pastry;43;330;13;6,8;2,2;8,4;4,1;250;5,2
伯尔尼高山奶酪;Bernese alp cheese;0;460;38;;0;27,7;;660;
伯尔尼刨花奶酪;Bernese cheese for slicing;0;495;41;;0;30,6;;690;
伯尔尼舌头香肠;Bernese tongue sausage;0;335;29;10,9;0;17,3;0,7;600;0
比伯姜饼;Biber (Filled ginger bread type);57;465;20;1,6;6;10,3;1;1,8;45,4
啤酒混合饮料（平均）;Beer shandy (average);7;40;0;0;0;0,2;1,2;3,1;6,4
干酵母;Yeast, dried;27;355;4;0,6;9,5;47,9;4;77;3,2
啤酒香肠;Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork);0;350;31;11,8;0;16,8;0,7;580;0
比歇尔穆斯利（已制，无添加糖）;Birchermüesli, prepared (no sugar added);11;90;3;1,2;1,9;2,7;5,7;20;8,3
炖梨（沥干，无添加糖）;Pear, stewed, drained (without addition of sugar);16;75;0;0;3;0,5;1;2,6;15,8
梨干;Pear, dried;60;290;1;0,1;13,5;2,4;5;10;49,3
糖水梨（罐头）;Pear, sweetened, canned;21;95;0;0;2,1;0,4;0,7;1,8;21
新鲜梨;Pear, raw;12;60;0;0;2,3;0,4;0,8;2;12,2
无糖梨（罐头）;Pear, unsweetened, canned;12;60;0;0;2,3;0,4;0,8;2;12,2
梨派（酥皮，烘烤）;Pear pie, baked (with puff pastry);17;145;7;3,8;1,8;2,4;3;93;9,9
梨派（蛋糕面团，烘烤）;Pear pie, baked (with cake dough);19;140;5;2,6;2;2,8;3,1;100;9,9
梨汁;Pear juice;11;50;1;0,2;0;0,5;1;2;11
梨子酥皮卷;Birnenweggen, pastry with pear;57;360;10;5,8;7,7;5;2,5;290;33,7
白奶酪;Blanc battu;3;45;0;0,1;0;7,6;7;23;2,4
轻盈水果白奶酪;Blanc battu with fruits light;8;70;0;0,1;0,3;8;10;48;5,4
自制黄油酥皮（生）;Puff pastry home-made (with butter), raw;29;365;25;14,6;1,3;5,2;0,5;340;0,3
自制植物脂肪酥皮（生）;Puff pastry home-made (with vegetable fat), raw;29;360;24;6,7;1,3;5,2;0,9;360;0,1
黄油酥皮派;Puff pastry patty with butter;43;565;41;25;2;5,8;0;470;1
酥皮棒;Puff pastry sticks;40;500;34;14,6;1,8;7,2;1,2;1040;0,3
蒸绿叶蔬菜（平均，不含沙拉，无盐）;Leafy vegetables (average excluding salads), steamed (without addition of salt);2;25;0;0;2,4;1,6;2,4;18;2,2
炖绿叶蔬菜（平均，不含沙拉，无油无盐）;Leafy vegetables (average excluding salads), stewed (without addition of salt and fat);3;25;0;0;2,6;1,7;2,7;22;2,3
煮绿叶蔬菜（平均，不含沙拉，无油无盐）;Leafy vegetables (average excluding salads), boiled (without addition of salt and fat);2;25;0;0;2,5;1,6;2,3;16;2,2
生绿叶沙拉（平均）;Leafy salad (average), raw ;1;20;0;0;1,9;1,6;5,7;18;1,4
蓝纹奶酪（平均）;Blue cheese (average);0;365;32;18,9;0;19,1;40;1530;0
蒸花椰菜（无盐）;Cauliflower, steamed (without addition of salt);2;30;0;0;2,5;2,5;0,6;12;2,1
生花椰菜;Cauliflower, raw;2;30;0;0;2,4;2,4;0,6;14;2
黑布丁;Black pudding;3;155;11;4,5;0,1;10,7;6,8;800;2,6
蒸青豆（无盐）;Green bean, steamed (without addition of salt);4;35;0;0,1;3,4;2,3;3,1;3,7;2,4
青豆干;Bean, green, dried;26;255;2;0,4;25,3;20,2;25;17;9,5
生青豆;Bean, green, raw;4;35;0;0,1;3,1;2,1;3;4;2,2
煮白豆（无油无盐）;Bean, white, cooked (without addition of fat and salt);18;130;1;0,2;7,4;8,5;0,2;1,2;1,4
白豆干;Bean, white, dried;44;325;3;0,4;18,4;21,3;0,6;2,1;3,6
肉酱;Ground meat sauce;8;100;4;1,4;0,6;6,3;1,5;220;2,6
肉汤（已制）;Bouillon, meat, prepared;0;5;0;0,2;0;0,3;3;420;0
禽肉汤（已制）;Bouillon, poultry, prepared;0;5;0;0,1;0;0,3;2,8;400;0,1
蔬菜汤（已制）;Bouillon, vegetable, prepared;0;10;0;0,1;0;0,3;3,6;360;0,1
坚果夹心牛奶巧克力;Milk chocolate filled with nuts (chocolate bar);49;560;36;16,8;3,4;7,6;7,3;62;47,9
谷物烈酒（如威士忌）;Spirits, grain (e.g. whisky);0;255;0;0;0;0;0;1;0,1
葡萄酒烈酒（如干邑）;Spirits, wine (e.g. cognac);2;240;0;0;0;0;0;2;2
甘蔗烈酒（如朗姆酒）;Spirits, sugar cane (e.g. rum);0;235;0;0;0;0;0;1;0
澄清黄油;Butter, clarified;0;885;98;58,9;0;0,1;0;10;0
浓肉汁;Gravy, thickened;5;55;3;0,7;0,5;1,6;3;580;0,8
清肉汁;Gravy, brown;4;45;3;0,5;0,5;1,5;3;900;1,5
布雷绍拉干牛肉;Bresaola (cured beef);0;170;4;1,6;0;32,4;0;2730;0
布里奶酪（至少25%脂肪干物质）;Brie, at least 25% fidm;0;200;12;6,9;0;24;23;740;0
布里奶酪（至少50%脂肪干物质）;Brie, at least 50% fidm;0;335;30;18;0;16;20;560;0
布里奶酪（至少45%脂肪干物质）;Brie, at least 45% fidm;0;300;24;14,1;0;21,8;8,3;510;0
蒸西兰花（无盐）;Broccoli, steamed (without addition of salt);2;30;0;0,1;2,9;2,9;14;11;2,2
生西兰花;Broccoli, raw;2;35;0;0,1;3;3;15;13;2,3
新鲜黑莓;Blackberry, fresh;6;45;0;0;6;1;0,4;3;6,2
黑莓派（酥皮，烘烤）;Blackberry pie, baked (with puff pastry);13;135;7;3,8;4,3;2,8;2,8;94;5,9
黑莓派（蛋糕面团，烘烤）;Blackberry pie, baked (with cake dough);15;130;5;2,6;4,4;3,2;2,8;100;5,9
黑莓派（甜酥皮底，烘烤）;Blackberry pie, baked (with sweet short pastry base);19;200;11;6,4;4;3,2;2,3;92;8,4
面包（平均）;Bread (average);45;265;5;2,3;3,7;9,2;2,6;620;1,3
熟熏香肠（平均）;Cooked smoked sausages (average);0;265;23;8,7;0;14,3;0,1;870;0,4
未熏熟香肠（平均）;Cooked sausages not smoked (average);1;260;22;8,4;0;13,2;1;1550;0,8
生西洋菜;Water cress, raw;0;20;0;0,1;2,6;2,2;2;42;0,3
布伦斯利巧克力饼干;Brunsli (chocolate cookie);42;495;29;5,6;7,9;12,7;2,3;53;38,2
荞麦米（去皮）;Buckwheat, grain peeled;71;345;2;0,3;3,7;9,1;0,5;2;0,4
荞麦粉;Buckwheat flour;65;345;3;0,6;6,2;12;0,2;6;0,3
格劳宾登大麦汤;Graubünden barley soup;7;45;1;0,5;0,5;1,4;4,2;340;1,2
半白面包卷;Bread roll (semi white);42;220;1;0,2;2,9;8,6;0,8;770;0,4
白黄油可颂;Butter croissant, white;44;435;24;14,1;2,6;8,8;1,8;490;3,3
全麦黄油可颂;Butter croissant, wholemeal;39;370;20;11,5;3,6;6,4;1,5;440;1,2
酪乳;Buttermilk;4;35;1;0,3;0;3,2;7,3;60;4
韦格力黄油面包卷;Weggli, bread roll made with butter;47;310;9;4,9;2,2;9,4;4,5;650;3,4
黄油辫子白面包;Braided white bread made with butter;46;330;11;6,5;2,1;9;5;580;2,9
全麦黄油辫子面包;Braided bread, wholemeal, made with butter;41;275;6;3,2;7,3;9,4;2,5;460;1
加奶油咖啡（无糖）;Coffee with coffee cream, no sugar added;1;15;1;0,7;0,1;0,3;0,9;6,9;0,3
费南雪蛋糕;Cake financier;37;430;26;8;4;9,8;2,2;39;29,2
卡利莫乔（红葡萄酒兑可乐）;Calimocho (red wine mixed with cola);5;60;0;0;0;0;1;4,5;5,1
卡门贝尔奶酪（至少25%脂肪干物质）;Camembert, at least 25% fidm;0;180;10;6;0;22;20;600;0
卡门贝尔奶酪（至少50%脂肪干物质）;Camembert, at least 50% fidm;0;355;32;19;0;16,4;6,8;480;0
卡门贝尔奶酪（至少45%脂肪干物质）;Camembert, at least 45% fidm;0;300;24;14,2;0;21,2;20;890;0
肉馅意大利面卷（已烹制）;Cannelloni filled with meat, prepared;15;195;10;4,9;1,8;10,4;4,8;280;2,6
菠菜瑞可塔馅意大利面卷（已烹制）;Cannelloni filled with spinach and ricotta, prepared;15;225;14;7,7;1,7;8,7;11;320;1,8
卡布奇诺（无巧克力粉，无糖）;Cappuccino (without chocolate powder), no sugar added;3;40;2;1,3;0;1,8;5,1;21;2,5
卡普恩斯（已烹制）;Capuns, prepared;10;170;10;5,2;1;8,1;6,7;380;1,1
腰果;Cashew nut;27;595;45;7,8;3,6;18,2;10;9,2;5,9
瑞士塞维拉香肠;Cervelat (Swiss sausage);1;250;22;8,2;0;13,4;;840;0,5
蘑菇罐头;Mushroom, canned;1;20;0;0;2,5;2,3;18;340;0
炖蘑菇（无油无盐）;Mushroom, stewed (without addition of fat and salt);1;30;0;0;2,3;3,5;21;6;0,4
生蘑菇;Mushroom, raw;1;25;0;0;1,9;2,9;18;5,7;0,3
蒸菊苣（无盐）;Chicory, steamed (without addition of salt);1;15;0;0;2,6;1;1;3,5;0,6
生菊苣;Chicory, raw;1;15;0;0;2,5;1;1;4;0,6
香辣肉酱（已烹制）;Chili con carne, prepared;9;125;4;1,2;2,7;10,8;2,3;150;2,1
炖大白菜（无油无盐）;Chinese cabbage, stewed (without addition of fat and salt);1;20;0;0,1;2;1,2;0,3;17;1,2
生大白菜;Chinese cabbage, raw;1;20;0;0,1;1,9;1,1;0,3;19;1,2
茴香饼干;Chräbeli (aniseed cookie);75;370;3;0,7;2;8,5;6,8;60;40,5
红菊苣（生）;Radicchio red, raw;2;20;0;0;3;1,4;0;7;1,6
自制菜籽油蛋黄酱鸡尾酒酱;Cocktail sauce, home made with rapeseed mayonnaise;4;695;74;6,9;0,2;2,4;1,7;290;3,7
含糖可乐饮料;Cola beverage, sweetened;10;40;0;0;0;0;2;9;10
含甜味剂可乐饮料;Cola beverage, with sweetener;0;0;0;0;0;0;1;5;0
凉拌卷心菜沙拉（已制）;Coleslaw salad, prepared;4;120;10;1,8;2,1;1,7;5,1;74;4,1
意式风干猪颈肉;Coppa (cured pork meat);0;320;23;8,5;0;28,8;0;1520;0,3
炸小牛肉蓝带;Cordon bleu from veal schnitzel, fried;10;240;11;3,1;0,6;23,9;5,1;380;0,5
炸猪肉蓝带;Cordon bleu from pork schnitzel, fried;10;250;12;3,3;0,6;24,2;5,8;380;0,5
玉米片;Cornflakes;79;360;1;0,1;4;7,2;1;940;7,1
科泰基诺猪肉香肠;Cotechino (pork sausage);0;450;42;14;0;17,2;0;1740;0
科托熟肉制品;Cotto (meat product);1;95;3;1,2;0;15,7;;910;0,6
咸味饼干;Cracker, salty snacks;66;450;16;5,9;2,1;9,2;13;590;0
奶油千层酥;Cream slice;35;320;18;10,8;0,3;3,5;5,9;100;15,3
卡芒贝尔奶酪薄饼（已制）;Thin pancakes with camembert cheese, prepared;15;250;16;8,2;0,5;11,9;18;310;2,3
蘑菇薄饼（已制）;Thin pancakes with mushrooms, prepared;8;140;9;4,7;1,6;5,3;19;140;1,8
蔬菜薄饼（已制）;Thin pancakes with vegetable filling, prepared;14;165;9;4;1,6;6;12;94;4
能多益薄饼（已制）;Thin pancakes with Nutella, prepared;36;380;22;9;1,7;7,7;13;100;26,6
火腿薄饼（已制）;Thin pancakes with ham, prepared;13;195;10;4,7;0,5;12,8;13;400;2,2
培根薄饼（已制）;Thin pancakes with bacon, prepared;15;255;16;7,4;0,5;11,2;14;360;2,4
肉桂糖薄饼（已制）;Thin pancakes with sugar and cinnamon, prepared;29;260;12;5,7;0,7;8,2;16;130;14,9
原味薄饼（已制）;Thin pancakes, prepared;19;235;13;6,5;0,7;9,3;18;150;2,9
鸡尾酒虾（已制）;Shrimp cocktail, prepared;5;175;13;7,7;0,3;5,5;34;190;3,8
家乐氏蜜脆坚果玉米片;Crunchy Nut Honig & Erdnüsse (Kellogg's);82;405;5;0,9;2,5;6;;350;35
椰枣干;Date, dried;69;305;1;0;7,1;2,5;1;3;69
粗粒斯佩尔特小麦粉（1100型）;Spelt, flour Ruch (type 1100);65;350;2;0,3;5,7;14,3;;27;1,4
全麦斯佩尔特小麦粉（1900型）;Spelt, wholemeal flour (type 1900);60;350;3;0,4;9,4;15,6;;13;1,2
精白斯佩尔特小麦粉（550型）;Spelt, fine flour (type 550);69;350;2;0,3;2,8;13,3;;6,8;0,9
红花籽油;Safflower oil;0;810;90;8;0;0;0;0;0
巴氏杀菌奶油（至少45%乳脂）;Cream, at least 45 % milk fat, pasteurized;3;425;45;27;0;2,1;80;20;2,8
生鳕鱼;Cod, raw;0;80;0;0,1;0;18,1;160;53;0
牛奶焦糖酱;Dulce de Leche;53;300;7;4,4;0;5,9;17;69;52,6
生板栗;Chestnut, raw;42;200;2;0,3;1,4;2,9;0,1;0,6;5
生河鲈;Eurasian perch, raw;0;80;1;0,1;0;18;4;92;0
奶酪法式蛋饼（已制）;French omelette with cheese, prepared;1;195;15;6,4;0,1;13,8;27;370;1,2
火腿法式蛋饼（已制）;French omelette with ham, prepared;1;150;10;3,3;0,1;12,6;26;410;1,3
培根法式蛋饼（已制）;French omelette with bacon, prepared;1;185;14;5;0,1;12,3;25;270;1,3
原味法式蛋饼（已制）;French omelette, prepared;1;155;12;3,8;0;11,1;30;330;1,4
炖鸡油菌（无油无盐）;Chanterelle, stewed (without addition of fat and salt);0;30;1;0,1;5,7;2;3,5;3,2;0,2
生鸡油菌;Chanterelle, raw;0;25;1;0,1;4,7;1,6;3;3;0,2
生冰山生菜;Iceberg lettuce, raw;2;20;0;0;1,8;1;2;3,6;1,6
加糖冰茶;Ice Tea, sweetened;8;30;0;0;0;0;0,9;0;7,5
埃曼塔尔奶酪（至少45%脂肪干物质）;Emmentaler cheese, at least 45% fidm;0;415;33;20,3;0;29;20;170;0
生苦苣;Endive, raw;1;20;0;0;1,2;1,8;2,9;43;1,2
恩加丁坚果挞;Nut tart from Engadin;50;490;28;10,2;2;7;3,5;14;30,7
青豆罐头;Green peas, canned;13;90;1;0,1;5;4,8;5,2;260;0
加热青豆罐头（无盐）;Green peas (canned), heated (without addition of salt);14;95;1;0,1;5,3;5,1;5,3;230;0
蒸青豆（无盐）;Green pea, steamed (without addition of salt);14;105;1;0,1;6,9;6,9;4,6;1,9;6,3
生青豆;Green pea, raw;12;90;1;0,1;6;6;4,2;2;5,5
青豆胡萝卜罐头;Green peas and carrots, canned;10;70;1;0,1;4,5;3,8;3,2;410;5,8
加热青豆胡萝卜罐头（无盐）;Green peas and carrots (canned), heated (without addition of salt);10;75;1;0,1;4,8;4;3,2;370;6,2
新鲜草莓;Strawberry, fresh;7;40;1;0;2,2;0,7;1;2;7
花生;Peanut;11;600;49;11,6;7,6;26;3,2;18;4
花生泡芙;Peanut curls;57;510;24;4,4;4,9;13,2;5;770;0
烤花生;Peanut, roasted;9;595;49;9,2;8,2;25,3;13;9;3,6
花生酱;Peanut butter;12;640;54;10,7;7,6;22,6;0;350;6,4
花生油;Peanut oil;0;810;90;16,2;0;0;0;0;0
加奶精浓缩咖啡（无糖）;Espresso with coffee cream, no sugar added;1;30;3;1,5;0,1;0,5;1,9;14;0,6
醋;Vinegar;1;25;0;0;0;0,1;;7,7;0,3
油醋沙拉汁（菜籽油）;Vinegar-oil-salad dressing (with rapeseed oil);5;330;33;2,7;0,9;0,7;0,8;270;2,8
无花果干;Fig, dried;57;275;1;0,2;11;3,2;4;14;56,8
新鲜无花果;Fig, fresh;16;75;0;0;3;0,9;1,5;3;15,5
生白鲑鱼;Whitefish, raw;0;105;2,7;0,6;0;19,2;1,5;20;0
蒸茴香（无盐）;Fennel, steamed (without addition of salt);2;25;0;0;3,3;1,1;4,8;13;0,1
生茴香;Fennel, raw;2;25;0;0;3,3;1,1;5;15;0,1
生鱼（平均）;Fish (average), raw ;0;140;6;1,4;0;20,2;38;52;0
面包屑炸鱼条（菜籽油煎）;Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil;17;310;19;1,5;0,9;17,6;96;230;0,1
烤箱烤面包屑炸鱼条（无油）;Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat);17;265;13;1,1;0,9;18,4;100;240;0,1
面包屑炸鱼条（半成品）;Fish fingers (sticks), breaded and pre deep fried;15;235;12;1;0,8;16,2;89;250;0,1
阿尔萨斯火焰薄饼（烘烤）;French pizza from Alsace, baked;23;270;15;7,1;1,4;9,3;4,5;400;2,4
生肉（平均，不含内脏）;Meat (average excluding offal), raw ;0;145;7;2,4;0;21,5;2,1;58;0
午餐肉;Luncheon meat;1;260;22;8,8;0;12,5;;900;1,4
肉馅千层面（已制）;Meat lasagne, prepared;13;160;7;3,2;1,6;9,7;4,8;370;2,7
生鲽鱼;Flounder, raw;0;75;1;0,1;0;16,5;6,3;150;0
无酒精奶酪火锅（已制）;Fondue without alcohol, prepared;2;285;22;13,6;0;19,4;17;120;1
奶酪火锅（已制）;Fondue, prepared;1;310;23;14,4;0;20,6;17;120;0,1
一半一半奶酪火锅（已制）;Fondue moitié-moitié, prepared;1;285;21;12,9;0;17,6;16;410;0
生鳟鱼;Trout, raw;0;130;7;1,7;0;16;14;40;0
无糖法式吐司;French toast unsweetened;25;225;10;5,1;1,2;8;11;360;1,7
弗里堡瓦什寒奶酪;Vacherin Fribourgeois;0;375;30;18,2;0;24;27;600;0
奶油奶酪（至少60%脂肪干物质）;Cream cheese, min. 60% fidm;5;340;32;19,2;0;7,9;8;500;2,3
熟水果（平均，无添加糖）;Fruits (average), cooked (without addition of sugar);13;65;0;0,1;2,9;0,6;1,4;3,7;13
水果干（平均）;Fruit (average), dried;58;280;1;0,2;10,7;2,8;4,2;12;53,6
生水果（平均）;Fruits, raw (average);12;60;0;0;2;0,7;1,2;2,7;11,3
稀释果汁（平均，60%果汁，无添加糖）;Fruit juice diluted (average, 60% juice - 40% water), no sugar added;7;35;0;0;0;0,2;0,9;1,5;7,1
果汁（平均，无添加糖）;Fruit juice (average), no sugar added;12;55;0;0;0;0,3;1,5;1,8;11,8
糖水水果沙拉（罐头）;Fruit salad, sweetened, canned;18;80;0;0;1,8;0,5;1,9;0,8;17,7
无糖水果沙拉（罐头）;Fruit salad, unsweetened, canned;11;55;0;0;2;0,5;2;0,9;11,3
水果挞/派（平均）;Fruit pie (average);17;155;8;4,3;3,2;2,9;2,9;95;7,7
酥皮水果挞/派（平均）;Fruit pie with puff pastry (average);15;140;7;3,8;2,4;2,6;3,1;94;7,6
蛋糕面团水果挞/派（平均）;Fruit pie with cake dough (average);17;130;5;2,6;2,6;3;3,2;100;7,6
甜酥皮底水果挞/派（平均）;Fruit pie with sweet short pastry base (average);19;200;11;6,4;4,6;3,2;2,5;92;8
五谷啤酒;Beer, five grain;2;40;0;0;0,2;0,6;0;1,4;2
煮虾;Shrimp, boiled;1;60;1;0,1;0;12;86;170;0
