zh;en;carbohydrates;energy;fat;fat_saturated;fiber;proteins;salt;sodium;sugars
生虾;Shrimp, raw;1;60;1;0,1;0;11,4;91;190;0
生禽肉（平均，不含内脏）;Poultry (average excluding offal), raw;0;135;5;1,5;0;21,9;5,4;56;0
带皮禽肉（平均，生）;Poultry with skin (average), raw;0;155;8;2,4;0;20,7;9,2;53;0
去皮禽肉（平均，不含内脏，生）;Poultry without skin (average excluding offal), raw;0;115;3;0,8;0;22,9;2,2;58;0
禽肉里昂那香肠;Lyoner sausage (poultry);1;205;16;5,1;0;13,5;;920;0,9
生碎肉（平均，牛、小牛、猪、鸡）;Minced meat (average of beef, veal, pork, chicken), raw;0;145;6;2,4;0;21,6;1,5;48;0
生蔬菜（平均）;Vegetables (average), raw;4;30;0;0;2;1,3;2,6;15;3,5
焗烤蔬菜（烘烤）;Vegetable au gratin, baked;2;60;4;2;1,9;3;4,1;100;1,6
蔬菜千层面（已制）;Vegetable lasagne, prepared;12;135;7;4,1;1,1;4,8;5,7;460;2,6
大麦片;Barley flakes;66;330;2;0,3;10,3;7,9;1;3;2,4
全麦大麦片;Barley, wholemeal flakes;66;330;2;0,3;10,3;7,9;1;3;2
大麦烩饭（已煮）;Barley risotto, cooked;25;140;2;0,3;1,8;3,4;0,7;340;1,7
生碎肉（平均，牛、小牛、猪、禽）;Meat, chopped (average of beef, veal, pork, poultry), raw;0;120;3;1;0;21,9;1,4;53;0
谷物片（平均）;Cereal flakes (average);64;345;3;0,6;9;10,2;1,5;7,4;1,5
可颂面包（平均）;Croissant (average);40;410;23;13,4;2,7;8;34;850;2
沙布齐格香草奶酪;Schabziger (Swiss green cheese);0;135;1;0,3;0;32,3;0;1740;0
戈贡佐拉蓝纹奶酪;Gorgonzola;0;360;31;18,7;0;19,4;40;1450;0,1
新鲜葡萄柚;Grapefruit, fresh;6;30;0;0;1,3;0,7;1,3;1;5,9
格吕耶尔奶酪（至少45%脂肪干物质）;Greyerzer, at least 45% fidm;0;400;32;19,2;0;27;11;590;0
粗粒小麦粉布丁（部分脱脂奶，已制）;Semolina pudding, prepared (with partially skimmed milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8
粗粒小麦粉布丁（全脂奶，已制）;Semolina pudding, prepared (with full fat milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8
粗粒小麦粉切片（部分脱脂奶，已制）;Semolina slice, prepared (with partially skimmed milk);15;150;6;3,4;0,7;6,3;12;100;3,8
粗粒小麦粉切片（全脂奶，已制）;Semolina slice, prepared (with full fat milk);15;160;8;4,1;0,7;6,3;9,7;100;3,8
瑞士面包小人;Grittibänz (Swiss bread man);47;330;11;6,4;2,2;9,2;5;570;2,8
祖母式环形蛋糕;Ring cake grandmother style;33;460;32;13,2;3,1;8,3;8,4;140;27,1
匈牙利牛肉汤;Goulash soup;6;70;2;1;0,4;4,8;0,5;230;1,4
水果味软糖;Jelly babies with fruit essence;79;345;0;0;0;6,6;0;62;74,7
醋腌黄瓜;Cucumber, pickled;2;15;0;0;1;0,7;0;700;1,9
生黄瓜;Cucumber, raw;2;15;0;0;0,8;0,7;2,9;0,9;1,9
烘烤肉糕;Meat loaf, baked in the oven;8;200;11;3,1;0,6;17,1;4,8;890;0,9
菜籽油煎牛肉汉堡饼;Burger patty (beef), pan fried in HOLL rapeseed oil;6;205;11;3,2;0,7;20,4;6,7;300;1,5
燕麦粥（部分脱脂奶，已制）;Porridge, prepared (with partially skimmed milk);18;135;4;2,1;0,7;6,4;11;85;5,6
燕麦粥（全脂奶，已制）;Porridge, prepared (with full fat milk);16;150;6;3,2;1,9;6,4;12;89;5,7
燕麦片;Oat flakes;58;375;8;1;10,5;13,5;0,5;20;1
生燕麦麸;Oat bran, raw;51;370;7;1,3;15,4;17,3;0;4;0
低脂黄油（40%脂肪）;Butter, 40% fat;4;390;40;24,1;0;4;3,5;120;3,5
巴氏杀菌奶油（25%脂肪）;Cream, pasteurized, 25% fat;3;275;28;16,7;0;2,3;11;35;3,3
UHT 奶油;Cream, UHT;4;255;25;15,1;0;2,6;11;34;3,7
半白面包;Semi-white bread;46;240;1;0,1;3,7;9,4;1,1;680;0,4
全脂硬质和半硬质奶酪（平均）;Hard and semi hard cheese, full fat (average);0;400;32;19,5;0;27,2;15;460;0
硬糖;Hard caramels;95;385;0;0,2;0;0,5;0;25;95
硬质小麦粗粒粉;Durum wheat semolina;70;355;1;0,2;4;12,6;5,1;3;0
新鲜野兔;Hare, fresh;0;115;3;1;0;22;0,6;44;0
榛子;Hazelnut;7;645;60;4,2;9,7;15,2;6,5;0,9;4,3
榛子巧克力酱;Hazelnut-chocolate spread;56;550;33;12;2,9;5,8;7;45;54,8
榛子饼干;Hazelnut cookie;47;475;28;8;3,5;6,7;2;52;23,3
榛子蛋白脆饼;Hazelnut macaroon;36;535;37;2,6;6;11,4;5,3;80;33,8
坚果棒;Nut sticks;46;565;37;12,6;3,6;10,1;6;55;23
生白斑狗鱼;Pike, raw;0;85;1;0,2;0;18,4;8;75;0
甜酵母面团（黄油，生）;Yeast dough (with butter), sweet, raw;43;315;11;6,1;1,9;8,6;5,1;380;6,4
甜酵母面团（植物脂肪，生）;Yeast dough (with vegetable fat), sweet, raw;40;305;12;3,4;2;9,1;5,6;400;1,1
生蓝莓;Blueberry, raw;11;60;1;0;3;0,6;1;2;11,3
生大比目鱼;Halibut, raw;0;120;4;0,5;0;20,6;1;64;0
生覆盆子;Raspberry, raw;7;55;1;0;6,7;1,2;3;3;7
熟火腿;Ham, cooked;1;105;2;0,8;0;20,2;3,6;940;0,7
生鹿肉（平均）;Deer (average), raw;0;115;3;1,5;0;20,6;0,6;62;0
生鹿肉里脊;Deer, entrecôte, raw;0;115;2;1,2;0;23,1;7,8;53;0
去壳小米米;Millet, grain peeled;69;360;4;0,9;3,8;9,8;2,5;3;1,4
全麦小米片;Millet, wholemeal flakes;69;360;4;0,9;3,8;9,8;2,5;3;1,4
小米烩饭（已煮）;Millet risotto, cooked;25;145;3;0,5;1,6;3,6;1,3;350;1,5
荷兰酱;Hollandaise sauce;9;215;18;9;0,1;3;4,5;400;6,2
生接骨木果;Elderberry, raw;7;55;1;0;4;2,5;3;1;7,4
蜂蜜;Honey, from flowers;76;310;0;0;0;0,4;0,5;7;76
白兰瓜;Honeydew melon, raw;8;40;0;0;0,9;0,7;1;18;8
热狗（白面包，配番茄酱和芥末）;Hot Dog in white bread with ketchup and mustard;32;230;7;2,4;1,8;9,1;0,5;800;2,5
煮全蛋（硬煮）;Chicken egg, whole, hard boiled;0;160;11;2,9;0;13,2;34;150;0,3
生鸡蛋;Egg, raw;0;145;10;2,6;0;11,9;32;140;0,3
生蛋黄;Egg yolk, raw;0;350;32;9,4;0;16,5;12;50;0,2
生蛋白;Egg white, raw;0;45;0;0;0;10,5;6,8;160;0,3
煮熟豆类/荚果（平均，无油无盐）;Legumes/Pulses (average), cooked (without addition of fat and salt);16;140;3;0,3;5,3;9,7;1;2;1
干豆类/荚果（平均）;Legumes/Pulses, (average) dried;42;355;7;0,8;13,5;24,8;2,7;4,8;2,6
茅屋奶酪;Cottage cheese;2;105;5;2,7;0;12,7;20;320;2,2
即食土豆泥（水、黄油，已制）;Mashed potatoes, instant, prepared (with water and butter);12;85;3;1,6;0,8;2;1,2;220;1,8
猎人酱;Huntsman sauce;8;60;2;0,5;0,5;2,2;4;620;2,5
酸奶沙拉酱（无油）;Yogurt dressing (without oil);6;70;3;2;0,1;3,7;15;220;5,7
双歧杆菌原味酸奶;Yogurt Bifidus, plain;5;50;4;2,2;0;4,1;7,5;45;4,5
加糖酸奶（平均）;Yoghurt with added sugar (average);15;105;3;1,7;0,4;3,8;6,1;44;13,8
低脂风味酸奶（含甜味剂）;Yogurt flavored, low fat, with sweetener;7;50;0;0,1;0;4,7;6;45;7
低脂水果酸奶（含甜味剂）;Yogurt with fruit, low fat, with sweetener;7;50;0;0,1;0,9;4,7;6;45;7
草莓酸奶;Yogurt, strawberry;15;105;3;1,6;0,9;3,5;5,5;42;14,3
榛子酸奶;Yogurt, hazelnut;15;120;5;2,5;0,9;3,9;6,5;46;14
摩卡酸奶;Yogurt, mocca;14;100;3;1,9;0;3,8;6;42;13,2
有机摩卡酸奶;Yogurt, mocca, organic;13;100;3;;0;3,5;6;42;12,4
原味酸奶;Yogurt natural;5;70;4;2,2;0;4;16;49;4,5
低脂原味酸奶;Yogurt, low fat;6;40;0;0,1;0;4,3;9,5;60;5,5
巧克力酸奶;Yogurt, chocolate;17;120;4;2,4;0,8;4;6;44;15,5
香草酸奶;Yogurt, vanilla;14;100;3;1,8;0;3,8;6,5;45;13,1
生红加仑;Currant, red, raw;5;45;1;0;8,2;1,1;1;3;5
生黑加仑;Currant, black, raw;9;60;0;0;7;1,3;1;3;9
红加仑派（酥皮，烘烤）;Red currant pie, baked (with puff pastry);12;135;7;3,8;5,8;2,8;3,2;94;5,1
红加仑派（蛋糕面团，烘烤）;Red currant pie, baked (with cake dough);14;130;5;2,6;5,9;3,2;3,2;100;5,1
红加仑派（甜酥皮底，烘烤）;Red currant pie, baked (with sweet short pastry base);18;200;11;6,4;5,3;3,3;2,7;92;7,7
速溶咖啡粉;Coffee, instant, powder;43;255;0;0;19,1;11,2;20;58;3,6
黑咖啡（无糖）;Coffee, black, no sugar added;0;5;0;0;0,1;0,1;0,1;1,3;0
UHT 咖啡奶油;Coffee cream UHT;4;165;15;9;0;2,7;11;77;3,8
可可粉;Cocoa powder;11;410;25;14,4;32,7;19,8;2,8;17;2,2
生柿子;Kaki, raw;15;75;0;0;2,5;0,7;1;2;15,3
煮小牛胸肉（无油无盐）;Veal, breast, cooked (without addition of fat and salt);0;295;21;8,9;0;26,1;2,7;41;0
生小牛胸肉;Veal, breast, raw;0;205;15;6,2;0;18,3;1,9;64;0
生小牛腿肉片;Veal, round, schnitzel, raw;0;105;2;0,4;0;22,2;0,1;64;0
生小牛里脊;Veal, filet, raw;0;120;4;1,3;0;21,2;0,1;91;0
生碎小牛肉;Veal, minced, raw;0;105;2;1,2;0;20,5;1,9;57;0
生小牛肉丝;Veal, chopped, raw;0;100;1;0,5;0;22;1,9;51;0
生小牛膝;Veal, knuckle, raw;0;125;4;1,4;0;20,7;0,1;62;0
生小牛排;Veal, chop, raw;0;165;9;3,6;0;20,7;0,1;51;0
生小牛肝;Veal, liver, raw;5;135;4;1,3;0;19,6;4,3;68;0
生小牛胸腺;Veal, sweetbread, raw;0;100;3;1,3;0;17,2;4;83;0
生小牛肾;Veal, kidney, raw;1;115;5;2,2;0;15,8;4,2;180;0
生小牛里脊牛排;Veal, filet, steak, raw;0;115;2;1,1;0;22,8;3,5;44;0
生小牛圆肉;Veal, eye of round, raw;0;105;2;0,8;0;21,9;1,8;43;0
烤箱烤小牛肩肉（无油无盐）;Veal, shoulder, roast in oven (without addition of fat and salt);0;185;7;2,1;0;30,1;0,1;120;0
生小牛肩肉（烤用）;Veal, shoulder, roast, raw;0;125;5;1,4;0;20,2;0,1;91;0
生小牛肉块;Veal, ragout, raw;0;105;2;1,1;0;20;0,8;57;0
生小牛舌;Veal, tongue, raw;2;185;12;4,2;0;17,2;2,3;86;0
生小牛肉（平均，不含内脏、排骨）;Veal (average excluding offal, chop), raw;0;130;5;1,9;0;21,1;1,2;66;0
小牛肉香肠;Sausage, veal;1;230;19;7,9;0;12,5;;760;1,2
小牛肉皮卡塔（已制）;Veal piccata, prepared;6;225;12;3;0,3;23,3;12;340;0,1
菜籽油煎小牛肉排;Veal schnitzel, pan fried in rapeseed oil HOLL;0;200;9;1;0;28,2;0,3;390;0
小牛肉炖肉（带酱汁，已制）;Veal ragout with gravy, prepared;3;95;4;0,8;0,6;11,6;1;300;1,5
生鱿鱼;Squid, raw;2;85;1;0,2;0;16;20;160;0
生兔肉;Hare, meat, raw;0;150;8;2,5;0;20,5;0,6;45;0
生兔里脊;Hare, filet, raw;0;115;2;0,5;0;24,3;4,1;33;0
蒸胡萝卜（无盐）;Carrot, steamed (without addition of salt);7;45;0;0;2,9;0,9;1,7;25;7,1
生胡萝卜;Carrot, raw;7;40;0;0;2,6;0,8;1,6;28;6,4
胡萝卜汁;Carrot juice;7;35;0;0;0,9;0,7;15;35;4,8
蒸去皮土豆（无盐）;Potatoe, peeled, steamed (without addition of salt);16;80;0;0;2,1;2;3,9;2,8;0,7
生去皮土豆;Potato, peeled, raw;16;80;0;0;2,1;2;4;3;0,7
含奶粉和盐的土豆片（即食土豆泥）;Potato flakes, with milk powder and salt (instant mashed potatoes);66;370;5;3,1;4,7;11,3;6;1260;10,3
多菲内焗土豆（已制）;Potatoes au gratin dauphinois, prepared;11;130;8;4,6;1,3;2,6;6,4;130;2,4
萨瓦焗土豆（已制）;Potatoes au gratin savoyard, prepared;11;75;2;1,3;1,4;2,2;5;150;0,5
油醋汁土豆沙拉;Potato salad with oil and vinagre dressing;13;100;4;0,3;1,7;1,7;3,6;61;0,6
蛋黄酱酸奶汁土豆沙拉;Potato salad with mayonnaise yogurt dressing;13;85;2;0,4;1,6;1,8;4,1;70;0,7
土豆淀粉;Potato starch;83;340;0;0;0,1;0,6;1;8;0
奶油黄油土豆泥（已制）;Mashed potatoes, prepared (with cream and butter);13;140;8;5;1,7;2;4,2;55;1,1
部分脱脂奶黄油土豆泥（已制）;Mashed potatoes, prepared (with partially skimmed milk and butter);14;90;3;1,5;1,7;2,2;4,7;58;1,4
全脂奶黄油土豆泥（已制）;Mashed potatoes, prepared (with full fat milk and butter);14;95;3;1,6;1,7;2,2;4,8;58;1,4
盐水牛奶奶酪（牛奶）;Feta, cow milk;1;265;21;12,4;0;17,5;0;1500;1,4
盐水羊奶奶酪（绵羊/山羊奶）;Feta, ewe-/goat milk;2;245;19;12,1;0;17;0;1300;0
咸味奶酪蛋奶饼（酥皮，烘烤）;Savoury cheese quiche, baked (with puff pastry);12;305;22;12,4;0,5;14,4;12;370;1,2
咸味奶酪蛋奶饼（蛋糕面团，烘烤）;Savoury cheese quiche, baked (with cake dough);15;295;19;10,7;0,6;14,9;12;380;1,2
奶酪工坊黄油;Butter, cheese dairy;1;750;83;49,5;0;0,4;0;10;0,5
奶酪面包片（已制）;Cheese bread slices, prepared;26;275;12;6,2;2,3;14,8;15;540;1
皮塔饼烤肉串;Kebab in pita bread;9;105;4;0,9;1;7,6;3,4;160;2,5
蒸豌豆角（无盐）;Sugar pea, steamed (without addition of salt);11;80;0;0;5,7;4,6;4,3;3,9;5,7
生豌豆角;Sugar pea, raw;10;70;0;0;5;4;4;4;5
番茄酱;Ketchup;26;120;0;0,1;0,9;2;0,9;1120;24,8
煮鹰嘴豆（无油无盐）;Chickpea, cooked (without addition of fat and salt);18;135;2;0,2;6,2;7,4;0,2;3,2;1
干鹰嘴豆;Chickpea, dried;44;330;5;0,6;15,5;18,6;0,6;8,6;2,4
樱桃白兰地烈酒;Spirits, Kirsch, Cherry Schnaps;0;245;0;0;0;0;0;0;0
炖樱桃（沥干，无添加糖）;Cherry, stewed, drained (without addition of sugar);18;90;1;0,1;2;1,5;1,2;3,4;17,6
生樱桃;Cherry, raw;15;75;1;0,1;1,7;1,3;1;3;15,3
樱桃派（酥皮，烘烤）;Cherry pie, baked (with puff pastry);19;155;7;3,9;1,4;3;3,2;94;12
樱桃派（蛋糕面团，烘烤）;Cherry pie, baked (with cake dough);21;150;5;2,6;1,6;3,4;3,2;100;12
生猕猴桃;Kiwi fruit, raw;10;55;1;0;2,5;1,1;1;4;9,8
全麦脆饼;Crispbread, wholemeal;62;330;2;0,2;10;10,4;41;590;0,8
亚麻籽全麦脆饼;Crispbread, wholemeal, with linseeds;56;340;5;0,5;12,9;11,8;42;600;0,8
芝麻全麦脆饼;Crispbread, wholemeal, with sesame;57;355;7;0,9;10,1;11,3;42;590;1,2
生大蒜;Garlic, raw;25;140;1;0,1;3;7;2,7;10;2,4
蒸块根芹;Celeriac, steamed;3;30;0;0;5,3;1,6;2,5;85;2
生块根芹;Celeriac, raw;2;30;0;0;5;1,5;2,5;100;1,9
面疙瘩粉;Spätzle flour;71;350;1;0,2;3,8;12,4;4,2;2,7;0,1
烹饪黄油;Cooking butter;1;745;82;49,3;0;0,5;0;10;0,6
熟腌肉（平均）;Cooked cured meat (average);1;225;16;6;0;19,8;1,9;1130;0,7
加碘食盐;Table salt iodized;0;0;0;;0;0;2500;39200;
加碘和氟食盐;Table salt iodized and fluoridized;0;0;0;;0;0;2500;39900;
无碘无氟食盐;Table salt without iodine and fluoride;0;0;0;;0;0;20;39900;
烹饪用培根;Bacon for cooking;1;325;28;10,6;0;17,8;1,1;1130;0,6
熟香肠（平均）;Cooked sausages (average);1;315;27;10;0,1;15,8;3,9;1030;1,1
煮熟的十字花科蔬菜（平均，无油无盐）;Cabbage vegetables (average), boiled (without addition of salt and fat);3;30;0;0;2,7;2,2;3;10;2,9
生十字花科蔬菜（平均）;Cabbage vegetables (average), raw;3;30;0;0;2,7;2,2;3,2;12;2,9
蒸苤蓝（无盐）;Kohlrabi, steamed (without addition of salt);4;30;0;0;1,6;2,1;0,7;19;4
生苤蓝;Kohlrabi, raw;4;30;0;0;1,4;1,9;0,7;20;3,6
椰子脂肪;Coconut fat;0;895;99;85,9;0;0,8;0;2;0
椰子蛋白脆饼;Coco macaroon;36;555;40;35;12,7;5,9;3,2;100;35,8
椰子;Coconut;16;500;42;37;9,5;8,9;0,8;6;5
椰子干（椰蓉）;Coconut, dried (coco flakes);6;660;63;54,8;20;6,2;3;33;6,4
甜炼乳;Condensed milk, sweetened;54;340;10;6;0;8;18;120;54,3
淡炼乳;Condensed milk, unsweetened;10;135;8;4,5;0;6,5;15;100;9,7
果酱;Jam;59;250;1;0;2,2;0,5;1;12;58,7
低能量果酱（含甜味剂）;Jam, low calorie, with sweetener;32;140;1;0;0,8;0,5;2;20;31,9
生奶油生菜;Butterhead lettuce, raw;1;15;0;0;1,6;1,2;3,3;2,3;1
肉排（平均，小牛、猪、羊）;Chop (average of veal, pork, lamb), raw;0;180;10;3,9;0;21,3;1;45;0
生甲壳类（平均）;Shellfish (average), raw;1;75;1;0,2;0;15,5;170;260;0
生蛋糕面团（黄油）;Cake dough (with butter), raw;39;330;16;9,3;1,8;6,8;0,6;370;0,3
生蛋糕面团（植物脂肪）;Cake dough (with vegetable fat), raw;39;325;16;4,3;1,8;6,8;0,9;380;0,2
南瓜皮卡塔（已制）;Pumpkin piccata, prepared;9;165;12;4,6;1,1;4,7;8,1;260;3,9
南瓜籽;Pumpkin seeds;5;605;49;8,7;6;32,6;12;9,9;1,4
面包糠南瓜片（已制）;Squash slices, breaded, prepared;17;140;6;0,7;1,7;4,4;4,9;290;4,1
烟熏三文鱼;Salmon, smoked;0;170;8;1,8;0;23,2;56;1660;0
野生三文鱼（生）;Salmon, wild, raw;0;185;12;1,8;0;19,7;53;63;0
养殖三文鱼（生）;Salmon, cultured, raw;0;200;13;2,2;0;19,9;44;57;0
生羊里脊;Lamb (sheep), filet, raw;0;115;3;1,3;0;20,4;0,7;68;0
生羊腿（瑞士/新西兰产）;Lamb (sheep), leg, raw (Switzerland, New Zealand);0;155;8;4,4;0;20,2;0,8;61;0
生羊排（瑞士产）;Lamb (sheep), cutlet, raw (Switzerland);0;180;11;5,2;0;20,2;0,9;69;0
生羊里脊（澳大利亚/新西兰产）;Lamb (sheep), filet, raw (Australia, New Zealand);0;120;3;1,9;0;21,8;0,8;44;0
生羊肋排（澳大利亚/新西兰产）;Lamb (sheep), racks, raw (Australia, New Zealand);0;160;8;4,3;0;20,3;0,9;63;0
生羊肉块（瑞士产）;Lamb, ragout, raw (Switzerland);0;155;8;4,3;0;19,6;0,7;60;0
生羊肉（平均，不含内脏、排骨）;Lamb (average excluding offal, chop), raw;0;135;6;3;0;20,5;0,8;58;0
羊肉炖肉（带酱汁，已制）;Lamb ragout with sauce, prepared;3;125;7;2,6;0,6;11,7;0,9;310;1,6
山地香肠;Landjäger sausage;0;495;43;16,9;0;26,6;;1410;0
拿铁玛奇朵（无糖）;Latte macchiato, no sugar added;3;50;3;1,7;0;2,3;6,5;27;3,2
生罗马生菜;Romaine lettuce (cos lettuce);1;20;0;0;1,5;1,2;3,3;8;1,3
炖韭葱（无油无盐）;Leek, stewed (without addition of fat and salt);4;35;0;0;3,2;1,8;9,7;14;3,9
生韭葱;Leek, raw;4;30;0;0;2,8;1,6;8,6;12;3,5
碱水面包卷;Lye roll;48;280;5;0,8;2,4;8,8;41;610;2,3
碱水面包条（干）;Pretzel sticks (dry lye pretzel);72;360;4;1;0,7;8,6;0;1710;0,5
碱水可颂;Croissant, pretzel;39;420;25;14,6;2;8,7;100;1630;1,4
生肝脏（平均，牛、小牛、猪、禽）;Liver (average of beef, veal, pork, poultry), raw;3;230;16;6,8;0,1;17,8;6,3;73;0,5
肝肠;Liver sausage;1;295;23;8,7;0,2;20,8;4,3;860;0,4
姜饼;Lebkuchen;62;405;14;1,4;4,2;6,5;2,2;120;41,2
巧克力涂层姜饼;Lebkuchen, chocolate covered;60;445;19;6,8;3,5;6,5;6,6;140;45,4
亚麻籽;Linseed;11;475;34;2,9;27,3;17,9;10;40;1,6
柠檬酱;Lemon Curd;38;320;16;7,9;0,1;6;15;72;37,5
林堡奶酪;Limburger (Münster) cheese;0;275;21;12,8;0;20,4;20;760;0
风味软饮料（加糖）;Soft drink, with flavor, sweetened;10;40;0;0;0;0;1,8;3;9,5
煮扁豆（无油无盐）;Lentil, cooked (without addition of fat and salt);19;125;0;0,1;4,1;8,8;0,3;1,3;0,4
干扁豆;Lentil, dried;50;335;1;0,2;11,2;24;0,7;2,5;1
林茨派（覆盆子果酱夹心）;Linzertorte (Pastry base covered with raspberry sweetmeat);44;425;24;9,2;3,7;7,5;3,1;70;25,9
手指饼干;Ladyfinger cookie;72;415;8;2,4;1,4;12,2;8;310;34,9
卢加尼加香肠;Luganighe;1;460;43;16;0;17,1;1,1;980;0,5
里昂那香肠;Lyoner sausage;1;245;22;8,2;0;11,5;;850;0,5
玛德琳蛋糕;Madeleine biscuit;52;350;12;6,2;1,4;7,5;7,4;130;22,3
UHT 脱脂牛奶;Cow milk, skimmed, UHT;5;35;0;0;0;3,4;2,8;39;4,7
脱脂奶粉;Skimmed milk powder;52;360;1;0,5;0;35,5;75;550;51,5
米兰式黄油甜饼干;Milanese cookie, butter, sweet;53;435;21;11,6;1,4;7,1;3,6;46;22,5
玉米片;Tortilla chips, corn-based;56;510;27;6,6;4,4;7,8;0;970;2,4
蒸甜玉米（无盐）;Sweet corn, steamed;18;105;1;0,2;3,2;3,8;3,6;0,3;3,9
生甜玉米;Sweet corn, raw;16;95;1;0,2;2,8;3,3;3,3;0,3;3,4
煮玉米粗粉;Corn semolina, cooked;17;80;0;0;1,1;2;0,7;230;0,3
干玉米粗粉;Corn semolina, dried;74;350;1;0,1;5;8,8;2,5;1;1,5
玉米胚芽油;Corn germ oil;0;810;90;11,1;0;0;0;0;0
醋渍玉米笋;Sweet corn cob, pickled;21;120;1;0,2;4,2;3,4;0;17;2
玉米淀粉;Maize starch;88;355;0;0;0,6;0,3;2,5;6;0
新鲜柑橘;Mandarin, fresh;10;50;0;0;1,4;0,7;0,8;3;10
杏仁;Almond;4;580;50;3,8;13;21,2;2;1,3;3,9
烤杏仁（加盐）;Almond, roasted, salted;7;635;55;4,2;10,5;21,2;2,4;330;4,6
干烤杏仁（无油，加盐）;Almond, dry roasted, salted;10;620;52;4;10,9;22,1;2,4;340;4,9
新鲜芒果;Mango, fresh;13;65;0;0;2,3;0,6;1;2;13,1
蒸瑞士甜菜（无盐）;Swiss chard, steamed (without addition of salt);4;35;0;0;1,3;2,8;1,2;190;0,7
生瑞士甜菜;Swiss chard, raw;3;25;0;0;1;2,1;1;170;0,5
人造黄油;Margarine;1;725;80;22,3;0;0,5;1,5;67;0
大理石蛋糕;Marble cake;43;360;17;9,4;1,3;7,3;8,8;60;19,7
杏仁蛋白软糖;Marzipan;69;470;18;1,5;4,9;6,1;0,7;2;68,6
马斯卡彭奶酪;Soft cheese, Mascarpone;0;455;47;29,2;0;7,6;29;86;0
蛋黄酱;Mayonnaise;1;745;82;12,1;0;1,1;6;410;0,5
低热量蛋黄酱;Mayonnaise, low calorie;3;330;35;4,6;0;0,9;5,3;280;0
自制菜籽油蛋黄酱;Mayonnaise, home made with rapeseed oil;0;795;87;8;0;2,4;1,8;150;0,2
面粉（平均）;Flour (average);68;345;1;0,3;4,7;12,4;1;3,5;0,4
